model,metric,mean,std
Logistic Regression,precision,0.058222805283307345,0.0014252763936767256
Logistic Regression,recall,0.9027547592385219,0.03484105078584506
Logistic Regression,f1,0.10936590235291806,0.0022688795981175877
Logistic Regression,auprc,0.7327713097394392,0.04548148520548607
Random Forest,precision,0.8499652384904752,0.01572069338630507
Random Forest,recall,0.8054871220604702,0.04195273892138882
Random Forest,f1,0.8268726648366614,0.029392035432069547
Random Forest,auprc,0.8273397734863137,0.03246508111916654
