model,precision,recall,f1,auprc
Logistic Regression,0.023757419509562925,0.7389277389277389,0.046034765687399254,0.11707651854219865
Random Forest,0.3337349397590361,0.903962703962704,0.4874921433060968,0.8193251364065413
